#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     94                7                 254               65.085            2025         
GPU 0     0                 0                 254               58.467            2040         
GPU 0     0                 0                 3182              52.190            2040         
GPU 0     0                 0                 3182              45.661            2040         
GPU 0     0                 0                 3182              36.593            2040         
GPU 0     0                 0                 3182              35.912            2040         
GPU 0     0                 0                 3182              35.964            2040         
GPU 0     0                 0                 3182              35.964            2040         
GPU 0     0                 0                 3182              36.154            2040         
GPU 0     0                 0                 3182              36.154            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     0                 0                 3182              36.154            2040         
GPU 0     0                 0                 3188              36.154            2040         
GPU 0     0                 0                 3188              36.795            2040         
GPU 0     0                 0                 3188              36.475            2040         
GPU 0     0                 0                 3188              36.393            2040         
GPU 0     61                4                 3502              36.812            2040         
GPU 0     98                27                3514              39.248            1395         
GPU 0     75                11                3500              45.544            2025         
GPU 0     75                11                3500              48.461            2025         
GPU 0     75                11                3500              50.658            2025         
GPU 0     64                10                3500              54.910            2040         
GPU 0     64                10                3502              58.550            2040         
GPU 0     64                10                3502              58.704            2040         
GPU 0     64                10                3502              58.572            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     64                10                3500              59.923            2040         
GPU 0     64                10                3500              59.965            2040         
GPU 0     64                10                3502              60.033            2040         
GPU 0     64                10                3502              59.965            2040         
GPU 0     65                10                3502              59.908            2040         
GPU 0     65                10                3210              59.947            1350         
GPU 0     77                14                3672              63.277            1275         
GPU 0     88                16                3864              66.837            1290         
GPU 0     99                16                3672              69.200            1290         
GPU 0     99                16                3498              71.599            1170         
GPU 0     51                8                 5142              72.766            1860         
GPU 0     51                8                 6550              66.633            2025         
GPU 0     1                 0                 7610              55.383            2040         
GPU 0     53                29                4180              52.477            1935         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     49                9                 5084              46.044            1905         
GPU 0     2                 0                 6534              40.577            2025         
GPU 0     1                 0                 7610              40.631            2040         
GPU 0     57                29                3876              45.600            1995         
GPU 0     45                9                 5208              45.072            1995         
GPU 0     2                 0                 6636              44.165            2025         
GPU 0     62                30                7610              49.279            2025         
GPU 0     62                30                3498              54.891            2025         
GPU 0     40                7                 5336              49.868            2025         
GPU 0     2                 0                 6728              46.936            2040         
GPU 0     1                 0                 7610              50.806            2025         
GPU 0     36                6                 3716              53.972            2025         
GPU 0     36                6                 5446              49.064            2025         
GPU 0     1                 0                 7610              43.425            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     70                33                3524              46.365            2025         
GPU 0     31                5                 5562              42.826            2010         
GPU 0     2                 0                 6890              39.625            2025         
GPU 0     1                 0                 7610              39.670            2040         
GPU 0     74                33                3648              41.232            2025         
GPU 0     74                33                5674              38.813            2025         
GPU 0     2                 0                 6988              37.860            2025         
GPU 0     2                 0                 7344              37.977            2040         
GPU 0     6                 0                 3876              39.010            2025         
GPU 0     74                35                5816              38.757            2025         
GPU 0     23                3                 7094              37.213            2025         
GPU 0     2                 0                 6856              40.695            1680         
GPU 0     14                6                 4100              41.117            1545         
GPU 0     19                2                 5908              41.367            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     19                2                 7166              40.307            2040         
GPU 0     21                11                6490              40.506            2040         
GPU 0     70                25                4272              49.601            2025         
GPU 0     12                2                 5998              45.654            2025         
GPU 0     2                 0                 7230              45.223            2025         
GPU 0     26                14                6204              49.762            2040         
GPU 0     69                22                4370              55.587            2025         
GPU 0     8                 1                 6046              50.299            2025         
GPU 0     2                 0                 7262              46.438            2025         
GPU 0     28                16                6072              50.825            1665         
GPU 0     70                22                4458              57.204            1320         
GPU 0     5                 1                 6148              52.122            2025         
GPU 0     2                 0                 7386              46.759            2040         
GPU 0     2                 0                 5406              49.847            1905         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     38                25                4680              51.184            1890         
GPU 0     62                13                6244              46.825            2025         
GPU 0     2                 0                 7410              40.429            2040         
GPU 0     2                 0                 5264              40.411            1995         
GPU 0     40                25                4712              43.065            1980         
GPU 0     61                12                6270              39.805            2025         
GPU 0     2                 0                 7440              38.943            2040         
GPU 0     2                 0                 5202              38.962            1680         
GPU 0     61                12                4740              41.338            1995         
GPU 0     61                12                6282              39.563            2025         
GPU 0     2                 0                 7452              38.539            2025         
GPU 0     42                26                5082              39.974            1695         
GPU 0     60                12                4774              40.513            1545         
GPU 0     2                 0                 6244              38.091            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     2                 0                 7414              37.759            2040         
GPU 0     39                25                5284              40.358            1620         
GPU 0     62                12                4740              41.418            1800         
GPU 0     2                 0                 6296              39.453            2025         
GPU 0     2                 0                 7468              39.426            2040         
GPU 0     42                26                5012              40.644            1860         
GPU 0     59                12                4822              41.174            1815         
GPU 0     2                 0                 6344              38.001            2025         
GPU 0     2                 0                 7516              37.435            2040         
GPU 0     45                27                4744              38.197            1980         
GPU 0     56                11                4922              38.619            1965         
GPU 0     2                 0                 6418              36.834            2025         
GPU 0     1                 0                 7562              36.798            2040         
GPU 0     1                 0                 4476              37.436            1995         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     48                27                5002              37.750            1995         
GPU 0     54                11                6530              36.997            2025         
GPU 0     2                 0                 7610              36.503            2040         
GPU 0     2                 0                 3710              40.809            2025         
GPU 0     56                29                5276              44.126            2025         
GPU 0     45                9                 6690              43.380            2025         
GPU 0     1                 0                 7610              42.985            2040         
GPU 0     63                31                3716              47.359            2025         
GPU 0     38                7                 5484              53.482            2025         
GPU 0     38                7                 6880              48.717            2025         
GPU 0     1                 0                 7610              45.912            1680         
GPU 0     73                33                3674              47.239            2010         
GPU 0     29                5                 5676              43.440            2025         
GPU 0     2                 0                 6990              37.255            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     4                 0                 7288              37.354            2040         
GPU 0     74                34                3884              38.559            2025         
GPU 0     25                4                 5752              37.062            2025         
GPU 0     2                 0                 7038              36.450            2025         
GPU 0     7                 0                 7100              36.559            2040         
GPU 0     74                34                3996              37.529            2025         
GPU 0     22                3                 5842              36.638            2025         
GPU 0     2                 0                 7114              36.196            2025         
GPU 0     13                5                 6680              39.195            2040         
GPU 0     71                30                4200              40.201            2025         
GPU 0     19                2                 5970              39.554            2025         
GPU 0     2                 0                 7212              39.141            2025         
GPU 0     21                11                6312              43.833            1635         
GPU 0     70                25                4354              48.292            1545         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     12                2                 6058              44.718            2025         
GPU 0     2                 0                 7294              44.297            2040         
GPU 0     2                 0                 5844              48.683            1905         
GPU 0     29                16                4534              55.249            1860         
GPU 0     70                21                6146              50.565            2025         
GPU 0     4                 0                 7352              46.088            2040         
GPU 0     2                 0                 5508              50.089            1950         
GPU 0     34                21                4642              53.118            1920         
GPU 0     67                16                6224              48.723            2025         
GPU 0     3                 0                 7412              42.167            2040         
GPU 0     38                25                5234              42.211            1785         
GPU 0     63                13                4766              47.051            1455         
GPU 0     2                 0                 6314              42.556            2025         
GPU 0     2                 0                 7498              40.074            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     43                26                4802              41.079            1680         
GPU 0     58                12                4924              41.538            1680         
GPU 0     2                 0                 6458              37.533            2025         
GPU 0     2                 0                 7598              36.663            2040         
GPU 0     48                27                4290              37.301            1950         
GPU 0     53                10                5056              37.669            1920         
GPU 0     53                10                5396              37.669            2025         
GPU 0     1                 0                 6744              36.458            2040         
GPU 0     1                 0                 7610              36.521            2040         
GPU 0     63                31                3716              40.896            2025         
GPU 0     38                7                 5464              45.529            2025         
GPU 0     1                 0                 6812              45.240            1950         
GPU 0     65                31                7610              48.981            2025         
GPU 0     37                7                 3716              48.210            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     2                 0                 5508              42.552            2025         
GPU 0     1                 0                 6854              42.570            2040         
GPU 0     69                32                7610              46.582            2010         
GPU 0     33                6                 5622              43.639            2010         
GPU 0     2                 0                 6932              39.973            2025         
GPU 0     1                 0                 7592              40.036            2040         
GPU 0     72                33                3736              42.135            2025         
GPU 0     29                5                 5706              38.715            2025         
GPU 0     2                 0                 7006              37.306            2025         
GPU 0     3                 0                 7220              37.415            2040         
GPU 0     75                34                3944              38.727            2025         
GPU 0     25                4                 5832              37.085            2025         
GPU 0     25                4                 7134              36.474            2025         
GPU 0     13                5                 6600              39.412            1725         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     13                5                 4230              40.490            1530         
GPU 0     19                2                 6026              39.626            2025         
GPU 0     19                2                 7292              39.168            2040         
GPU 0     2                 0                 5836              43.644            1860         
GPU 0     27                15                4498              49.663            1830         
GPU 0     7                 1                 6138              46.143            2025         
GPU 0     7                 1                 7284              45.559            2040         
GPU 0     25                14                5896              45.677            1950         
GPU 0     25                14                4510              50.871            1935         
GPU 0     70                23                6140              51.956            2025         
GPU 0     2                 0                 7350              45.998            2040         
GPU 0     31                17                5572              50.398            2040         
GPU 0     70                21                4630              55.382            2025         
GPU 0     3                 0                 6244              50.269            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     2                 0                 7412              44.708            2040         
GPU 0     36                24                5274              48.334            1695         
GPU 0     65                14                4732              50.497            1650         
GPU 0     2                 0                 6296              45.603            2025         
GPU 0     2                 0                 7470              41.184            2040         
GPU 0     39                25                4940              43.409            1860         
GPU 0     61                12                4848              44.406            1920         
GPU 0     2                 0                 6382              40.162            2025         
GPU 0     2                 0                 7546              38.547            2040         
GPU 0     44                26                4592              39.437            1965         
GPU 0     57                11                4970              39.920            1950         
GPU 0     2                 0                 6470              37.166            2025         
GPU 0     2                 0                 7610              36.753            2040         
GPU 0     2                 0                 4184              37.391            2010         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     48                27                5086              37.750            2010         
GPU 0     54                10                6536              36.898            2025         
GPU 0     2                 0                 7610              36.395            2040         
GPU 0     52                28                3800              39.244            2025         
GPU 0     49                10                5202              39.575            2025         
GPU 0     49                10                6630              39.099            2025         
GPU 0     1                 0                 7610              38.722            2040         
GPU 0     55                29                3502              43.302            2025         
GPU 0     46                9                 5314              42.532            2025         
GPU 0     2                 0                 6698              41.372            2025         
GPU 0     1                 0                 7610              41.472            2040         
GPU 0     58                30                3716              46.815            1995         
GPU 0     43                8                 5402              47.006            2010         
GPU 0     2                 0                 6808              44.973            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     1                 0                 7610              45.163            2040         
GPU 0     66                31                3510              49.582            2025         
GPU 0     36                6                 5568              46.913            2025         
GPU 0     2                 0                 6926              41.933            2025         
GPU 0     1                 0                 7478              41.978            2040         
GPU 0     72                33                3808              44.087            2025         
GPU 0     72                33                5800              40.207            2025         
GPU 0     30                5                 7132              37.453            2025         
GPU 0     2                 0                 6646              39.067            1635         
GPU 0     10                3                 4218              40.145            1485         
GPU 0     73                33                5964              38.503            2025         
GPU 0     20                3                 7200              37.955            2040         
GPU 0     2                 0                 6346              37.982            1860         
GPU 0     15                6                 4322              42.245            1800         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     18                2                 6000              40.971            2025         
GPU 0     2                 0                 7208              40.028            2040         
GPU 0     15                6                 6342              43.723            2040         
GPU 0     70                29                4312              44.648            2025         
GPU 0     18                2                 6006              40.304            2025         
GPU 0     2                 0                 7234              39.936            2040         
GPU 0     18                8                 6174              44.271            2040         
GPU 0     70                27                4410              46.979            2025         
GPU 0     15                2                 6080              42.637            2025         
GPU 0     2                 0                 7302              42.314            2025         
GPU 0     25                13                5766              47.051            1680         
GPU 0     70                23                4584              52.972            2025         
GPU 0     8                 1                 6180              48.199            2025         
GPU 0     2                 0                 7372              46.012            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     30                17                5544              50.394            1830         
GPU 0     69                21                4646              56.962            1725         
GPU 0     4                 0                 6240              51.696            2025         
GPU 0     4                 0                 7424              46.313            2040         
GPU 0     2                 0                 5216              50.169            1950         
GPU 0     34                21                4752              53.049            1905         
GPU 0     3                 0                 6310              48.155            2025         
GPU 0     3                 0                 7482              42.144            2040         
GPU 0     2                 0                 4886              45.066            1980         
GPU 0     39                25                4870              46.304            1965         
GPU 0     62                13                6368              42.455            2025         
GPU 0     2                 0                 7532              39.567            2040         
GPU 0     41                26                4632              39.603            2010         
GPU 0     60                12                4940              41.703            2010         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     60                12                6412              38.242            2025         
GPU 0     2                 0                 7564              37.526            2040         
GPU 0     43                26                4482              38.639            1665         
GPU 0     58                12                5006              39.142            1665         
GPU 0     2                 0                 6488              37.069            2025         
GPU 0     2                 0                 7610              37.050            2040         
GPU 0     46                27                4136              37.795            1860         
GPU 0     55                11                5140              38.162            1905         
GPU 0     2                 0                 6622              36.582            2025         
GPU 0     2                 0                 7610              36.636            2040         
GPU 0     55                29                3708              41.172            1995         
GPU 0     46                9                 5352              42.159            1980         
GPU 0     2                 0                 6748              40.930            2025         
GPU 0     1                 0                 7610              41.093            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     41                8                 3716              47.638            2025         
GPU 0     2                 0                 5488              45.976            2025         
GPU 0     1                 0                 6834              46.184            2040         
GPU 0     64                31                7610              50.899            2025         
GPU 0     64                31                3510              49.527            2025         
GPU 0     2                 0                 5612              43.480            2025         
GPU 0     2                 0                 7558              43.515            2040         
GPU 0     1                 0                 3764              46.452            2025         
GPU 0     32                6                 5738              47.717            2025         
GPU 0     32                6                 7052              42.984            2025         
GPU 0     2                 0                 7048              39.680            1665         
GPU 0     75                33                4030              41.034            1485         
GPU 0     26                4                 5868              40.962            2025         
GPU 0     2                 0                 7150              36.734            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     9                 2                 6536              37.577            2040         
GPU 0     73                33                4260              38.062            2025         
GPU 0     21                3                 5996              38.466            2025         
GPU 0     2                 0                 7242              37.193            2025         
GPU 0     17                8                 6088              41.360            2040         
GPU 0     70                28                4434              42.964            2025         
GPU 0     16                2                 6102              41.537            2025         
GPU 0     2                 0                 7326              41.115            2025         
GPU 0     24                13                5660              45.937            1710         
GPU 0     70                24                4594              51.628            1575         
GPU 0     9                 1                 6214              47.076            2025         
GPU 0     2                 0                 7394              45.992            2040         
GPU 0     30                16                5336              50.338            1815         
GPU 0     70                21                5336              56.292            1890         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     70                21                4686              56.292            1890         
GPU 0     1                 0                 6240              46.939            2040         
GPU 0     2                 0                 7446              45.927            2040         
GPU 0     49                27                5080              46.466            1935         
GPU 0     53                10                4816              42.020            1935         
GPU 0     2                 0                 6360              36.575            2025         
GPU 0     1                 0                 7538              36.404            2040         
GPU 0     54                29                4670              40.467            1995         
GPU 0     48                9                 4952              40.789            1995         
GPU 0     2                 0                 6470              39.820            2025         
GPU 0     1                 0                 7610              40.027            2040         
GPU 0     1                 0                 4090              45.498            2025         
GPU 0     43                8                 5136              46.837            2025         
GPU 0     43                8                 6600              45.795            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     1                 0                 7610              45.948            2040         
GPU 0     67                31                3542              50.202            2025         
GPU 0     35                6                 5398              51.970            2025         
GPU 0     35                6                 6772              41.582            2025         
GPU 0     2                 0                 7610              41.654            1665         
GPU 0     73                33                3716              43.341            2025         
GPU 0     29                5                 5498              43.296            2025         
GPU 0     2                 0                 6848              37.238            2040         
GPU 0     4                 0                 7610              37.319            1875         
GPU 0     74                34                3510              38.001            1785         
GPU 0     25                4                 5658              37.319            2025         
GPU 0     2                 0                 7020              36.771            2040         
GPU 0     20                10                7026              41.293            2040         
GPU 0     70                26                4038              45.350            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     13                2                 5872              44.544            2025         
GPU 0     2                 0                 7126              44.095            2025         
GPU 0     23                12                6800              48.920            1710         
GPU 0     70                24                4152              54.513            1560         
GPU 0     9                 1                 5932              49.488            2025         
GPU 0     2                 0                 7192              45.997            2040         
GPU 0     31                18                6340              50.385            1950         
GPU 0     70                20                4338              54.430            1920         
GPU 0     3                 0                 6022              49.094            2025         
GPU 0     2                 0                 7256              44.093            2040         
GPU 0     37                25                6034              47.672            1980         
GPU 0     64                13                4466              49.547            1995         
GPU 0     2                 0                 6130              44.592            2025         
GPU 0     2                 0                 7346              41.113            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     42                26                5562              42.388            2025         
GPU 0     59                12                4630              42.936            2025         
GPU 0     2                 0                 6270              38.863            2025         
GPU 0     2                 0                 7478              37.555            2040         
GPU 0     50                27                4896              38.146            1935         
GPU 0     52                10                4852              38.568            1950         
GPU 0     2                 0                 6380              36.727            2025         
GPU 0     2                 0                 7560              36.727            2040         
GPU 0     54                28                4460              40.702            2010         
GPU 0     47                9                 5042              40.891            2010         
GPU 0     2                 0                 6524              39.885            2025         
GPU 0     1                 0                 7610              40.057            2040         
GPU 0     1                 0                 3960              45.461            2025         
GPU 0     43                8                 5178              46.917            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     2                 0                 6612              46.073            2025         
GPU 0     2                 0                 7610              46.172            2040         
GPU 0     63                31                3570              51.103            2025         
GPU 0     38                7                 5302              55.812            2025         
GPU 0     38                7                 6726              45.317            2025         
GPU 0     1                 0                 7610              45.371            1680         
GPU 0     71                32                3716              48.215            1545         
GPU 0     31                5                 5518              44.119            2010         
GPU 0     2                 0                 6894              38.844            2025         
GPU 0     6                 0                 7610              38.998            2040         
GPU 0     75                34                3704              40.111            2025         
GPU 0     23                3                 5706              37.698            2025         
GPU 0     2                 0                 7034              36.809            2025         
GPU 0     17                8                 3996              40.970            1665         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     70                28                5848              42.311            2025         
GPU 0     17                2                 7094              41.502            2025         
GPU 0     2                 0                 6822              41.080            2025         
GPU 0     21                11                4130              45.808            1665         
GPU 0     70                25                5908              50.414            1575         
GPU 0     12                2                 7154              45.879            2025         
GPU 0     12                2                 6612              45.038            2040         
GPU 0     2                 0                 4188              49.765            1950         
GPU 0     25                14                6000              55.249            1905         
GPU 0     10                1                 7280              50.468            2025         
GPU 0     2                 0                 6032              45.896            2040         
GPU 0     35                22                4424              49.601            2010         
GPU 0     66                15                6090              52.392            1995         
GPU 0     3                 0                 7308              47.235            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     2                 0                 5796              42.298            2040         
GPU 0     38                25                4540              45.354            1770         
GPU 0     2                 0                 6142              42.517            2025         
GPU 0     2                 0                 7330              40.293            2040         
GPU 0     38                25                5802              43.508            1905         
GPU 0     62                13                4552              45.017            1875         
GPU 0     2                 0                 6172              41.397            2025         
GPU 0     2                 0                 7350              40.518            2040         
GPU 0     40                25                5584              42.553            1995         
GPU 0     61                12                4628              43.407            1965         
GPU 0     2                 0                 6232              39.680            2025         
GPU 0     2                 0                 7426              38.745            2040         
GPU 0     44                26                5242              39.598            2010         
GPU 0     57                11                4770              40.128            2010         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     2                 0                 6344              37.554            2025         
GPU 0     2                 0                 7534              37.302            2040         
GPU 0     51                28                4600              39.204            2025         
GPU 0     50                10                4980              39.599            2025         
GPU 0     2                 0                 6474              38.252            2025         
GPU 0     1                 0                 7610              38.306            2040         
GPU 0     56                29                4112              43.187            1995         
GPU 0     45                9                 5138              44.621            1995         
GPU 0     2                 0                 6586              43.534            2025         
