#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     28                6                 8215              47.157            2025         
GPU 0     78                36                6225              46.577            2010         
GPU 0     47                7                 7881              45.777            1950         
GPU 0     37                3                 9747              45.822            2025         
GPU 0     48                16                10371             47.230            1740         
GPU 0     40                19                8433              47.221            2025         
GPU 0     71                35                6789              47.869            1950         
GPU 0     40                9                 7067              47.841            2025         
GPU 0     48                3                 9113              47.707            2025         
GPU 0     48                3                 10737             47.714            2040         
GPU 0     59                31                9543              46.373            2025         
GPU 0     44                20                7643              47.027            1680         
GPU 0     65                23                6179              46.606            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     48                6                 8331              46.687            2025         
GPU 0     34                2                 10099             46.669            2025         
GPU 0     59                29                9947              44.245            1875         
GPU 0     28                6                 8343              44.281            2025         
GPU 0     75                36                6657              44.670            2025         
GPU 0     40                8                 7391              46.721            1920         
GPU 0     45                3                 9355              46.768            2025         
GPU 0     36                3                 10495             46.829            1860         
GPU 0     53                30                9323              46.462            2025         
GPU 0     52                23                7507              46.110            1410         
GPU 0     57                20                6323              46.146            2025         
GPU 0     47                5                 8487              47.159            2025         
GPU 0     33                2                 10229             47.141            2025         
GPU 0     59                30                9807              48.914            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     59                30                8343              48.903            2025         
GPU 0     76                35                6719              49.028            2025         
GPU 0     38                8                 7369              45.918            1965         
GPU 0     47                3                 9303              45.856            2025         
GPU 0     34                2                 10481             43.900            1950         
GPU 0     55                31                9315              44.234            2025         
GPU 0     48                21                7615              44.425            1920         
GPU 0     61                22                6237              44.434            2025         
GPU 0     48                6                 8435              44.418            2010         
GPU 0     60                30                9837              45.491            1995         
GPU 0     27                6                 8343              45.518            2025         
GPU 0     77                36                6515              45.101            2025         
GPU 0     41                8                 7715              46.354            2025         
GPU 0     39                2                 9599              46.554            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     59                29                6093              49.490            1935         
GPU 0     95                24                4523              56.755            1395         
GPU 0     44                6                 5689              51.948            2025         
GPU 0     3                 0                 6855              51.617            2025         
GPU 0     3                 0                 7799              49.788            2040         
GPU 0     10                1                 6965              49.619            1950         
GPU 0     70                33                4395              41.674            1815         
GPU 0     27                5                 6083              37.808            2025         
GPU 0     37                33                6975              41.849            1830         
GPU 0     8                 3                 8533              41.633            2025         
GPU 0     57                29                4647              46.785            2025         
GPU 0     44                8                 6095              49.367            2025         
GPU 0     3                 0                 7225              48.954            2025         
GPU 0     100               13                7431              56.395            1935         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     42                9                 6863              55.852            1665         
GPU 0     70                30                5297              52.244            1785         
GPU 0     19                2                 6703              48.090            2025         
GPU 0     2                 0                 8103              48.235            2040         
GPU 0     88                37                8913              50.373            1845         
GPU 0     96                43                4621              55.164            1890         
GPU 0     95                28                7185              59.314            1740         
GPU 0     98                100               8633              65.753            1785         
GPU 0     100               100               9711              72.299            1680         
GPU 0     100               97                9151              74.124            1605         
GPU 0     100               100               4713              73.297            1710         
GPU 0     69                24                5815              67.151            1830         
GPU 0     2                 0                 7329              60.799            2025         
GPU 0     2                 0                 8313              54.028            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     28                15                7755              52.587            1860         
GPU 0     91                42                5031              50.278            1380         
GPU 0     98                28                6835              51.575            2025         
GPU 0     92                9                 8089              57.020            1965         
GPU 0     70                6                 8885              59.316            2025         
GPU 0     83                34                5169              65.143            2025         
GPU 0     85                18                6287              63.492            1995         
GPU 0     80                6                 7669              58.422            2025         
GPU 0     72                6                 8753              58.422            2040         
GPU 0     75                21                6929              58.010            1995         
GPU 0     75                21                6015              58.010            1995         
GPU 0     39                9                 5963              55.459            1845         
GPU 0     81                6                 7477              55.874            2025         
GPU 0     73                6                 8585              56.164            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     70                10                7683              58.563            1680         
GPU 0     86                37                4855              56.107            1305         
GPU 0     98                27                6147              61.901            1485         
GPU 0     94                5                 6505              60.587            1980         
GPU 0     12                2                 8407              56.572            2025         
GPU 0     35                22                5619              55.993            2010         
GPU 0     67                16                5483              54.712            1995         
GPU 0     10                0                 6835              51.299            2025         
GPU 0     83                10                8111              51.299            2025         
GPU 0     79                6                 7861              52.480            1680         
GPU 0     92                40                4861              51.996            1455         
GPU 0     92                10                6683              52.618            2025         
GPU 0     84                5                 8007              53.819            2040         
GPU 0     80                5                 8273              52.908            1710         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     92                39                4787              55.833            1500         
GPU 0     93                11                6725              55.661            2025         
GPU 0     84                5                 8063              55.255            2025         
GPU 0     81                6                 8767              55.765            2040         
GPU 0     100               44                6215              60.248            1230         
GPU 0     80                18                6679              56.824            1425         
GPU 0     57                5                 8881              52.440            2025         
GPU 0     32                2                 10553             50.566            2025         
GPU 0     26                2                 11963             48.171            2040         
GPU 0     56                29                10051             46.643            2025         
GPU 0     69                36                5941              46.782            1410         
GPU 0     68                13                7729              48.484            1935         
GPU 0     42                2                 9723              48.437            2025         
GPU 0     30                2                 11321             48.428            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     57                28                11025             46.119            2010         
GPU 0     40                18                7383              46.284            1905         
GPU 0     69                27                6743              47.753            2025         
GPU 0     54                7                 8995              48.433            2025         
GPU 0     54                7                 10697             48.343            2025         
GPU 0     54                24                10749             51.555            1995         
GPU 0     29                10                8717              50.916            2025         
GPU 0     72                35                7131              49.168            2025         
GPU 0     41                9                 7891              47.744            1920         
GPU 0     50                5                 9807              47.854            2025         
GPU 0     36                3                 10719             44.840            1875         
GPU 0     52                30                9573              44.867            2025         
GPU 0     38                14                8683              44.395            1800         
GPU 0     67                28                7073              44.843            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     48                9                 8817              44.137            2025         
GPU 0     35                2                 10611             44.063            1665         
GPU 0     60                30                9523              47.921            2025         
GPU 0     27                6                 8717              47.912            2025         
GPU 0     71                33                8421              48.890            2025         
GPU 0     36                8                 7841              48.800            2025         
GPU 0     47                6                 9835              53.958            2025         
GPU 0     61                29                9385              50.317            2025         
GPU 0     29                7                 8453              50.343            2025         
GPU 0     49                11                9411              48.574            1650         
GPU 0     53                27                8057              47.634            2025         
GPU 0     42                8                 9333              45.126            1905         
GPU 0     64                29                9125              46.281            1995         
GPU 0     32                7                 8231              46.010            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     41                5                 9889              45.814            1710         
GPU 0     63                32                8507              45.759            2025         
GPU 0     29                6                 8971              45.705            1680         
GPU 0     73                29                9081              45.713            1995         
GPU 0     34                9                 7855              44.430            2025         
GPU 0     40                6                 9887              44.179            2025         
GPU 0     63                30                8567              45.480            2025         
GPU 0     63                20                9095              51.894            1995         
GPU 0     43                19                7795              51.912            2025         
GPU 0     41                6                 9545              51.725            2025         
GPU 0     63                29                9359              49.647            2025         
GPU 0     31                7                 8497              49.593            2025         
GPU 0     49                8                 9405              44.474            1965         
GPU 0     56                30                8545              40.568            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     21                5                 8449              40.307            2025         
GPU 0     44                7                 9101              47.729            1755         
GPU 0     52                28                8219              46.185            2025         
GPU 0     24                5                 8437              46.106            2025         
GPU 0     42                5                 9615              45.729            2025         
GPU 0     60                31                8075              48.588            2025         
GPU 0     28                6                 7977              43.279            2025         
GPU 0     37                4                 9549              40.992            2025         
GPU 0     23                2                 10685             40.699            2025         
GPU 0     61                31                9769              43.528            2025         
GPU 0     20                4                 8823              40.642            2025         
GPU 0     68                35                7409              45.024            1950         
GPU 0     34                7                 6975              45.320            2025         
GPU 0     42                5                 8791              45.660            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     30                2                 10227             42.748            2025         
GPU 0     44                14                10933             47.089            1950         
GPU 0     34                18                10329             42.456            2025         
GPU 0     46                27                7459              45.533            1815         
GPU 0     50                14                6645              45.434            2025         
GPU 0     41                6                 8507              45.272            2025         
GPU 0     30                2                 10161             41.352            2025         
GPU 0     44                13                10607             45.536            1995         
GPU 0     42                21                9267              45.626            2025         
GPU 0     58                25                7751              46.275            1995         
GPU 0     51                19                7019              46.411            2025         
GPU 0     48                5                 9229              51.428            2025         
GPU 0     33                2                 10969             51.459            2025         
GPU 0     59                30                10079             51.143            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     26                6                 8811              51.127            2025         
GPU 0     77                37                6925              51.423            2025         
GPU 0     44                8                 8263              51.738            1725         
GPU 0     41                3                 10131             51.727            2025         
GPU 0     44                12                10591             51.690            1755         
GPU 0     44                22                9463              51.637            2025         
GPU 0     54                23                7859              51.747            1470         
GPU 0     55                21                6981              51.630            2025         
GPU 0     48                6                 9191              50.310            2025         
GPU 0     33                2                 10885             50.377            2025         
GPU 0     59                30                9999              50.210            2025         
GPU 0     27                6                 8823              50.382            1500         
GPU 0     76                37                7183              50.391            2025         
GPU 0     36                8                 8053              46.608            1950         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     49                4                 9933              46.573            2025         
GPU 0     39                7                 10643             45.378            1965         
GPU 0     50                27                9485              45.378            2025         
GPU 0     48                20                8071              45.761            1905         
GPU 0     60                24                6909              45.700            2025         
GPU 0     47                6                 9035              45.790            2025         
GPU 0     34                2                 10779             45.789            2025         
GPU 0     59                30                10059             45.308            2025         
GPU 0     27                6                 8823              45.270            2025         
GPU 0     75                36                7389              45.430            1995         
GPU 0     37                8                 7939              45.403            2025         
GPU 0     48                4                 9855              45.257            2025         
GPU 0     39                6                 10549             45.450            1725         
GPU 0     50                28                9405              45.479            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     41                15                8491              45.370            1425         
GPU 0     65                28                6957              45.654            2025         
GPU 0     44                7                 8729              45.986            2010         
GPU 0     35                2                 10551             44.695            2025         
GPU 0     60                30                9885              44.810            2025         
GPU 0     28                6                 8823              43.190            2025         
GPU 0     71                35                7913              45.163            2010         
GPU 0     38                8                 7571              48.268            2025         
GPU 0     45                5                 9637              48.231            2025         
GPU 0     40                6                 10407             49.272            1965         
GPU 0     51                28                9219              49.272            2025         
GPU 0     34                9                 8889              48.037            1710         
GPU 0     71                33                7371              48.038            2025         
GPU 0     39                7                 8641              49.492            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     40                3                 10461             49.481            2025         
GPU 0     60                30                9689              49.680            2025         
GPU 0     28                6                 8823              49.664            2025         
GPU 0     66                26                8331              47.946            1815         
GPU 0     42                16                7389              47.973            2025         
GPU 0     35                5                 7809              43.216            1725         
GPU 0     15                1                 9711              40.615            2025         
GPU 0     49                16                10051             44.695            2010         
GPU 0     41                19                8877              44.580            2025         
GPU 0     39                10                8927              47.931            1875         
GPU 0     65                31                7467              48.075            2025         
GPU 0     40                7                 8833              53.472            2025         
GPU 0     35                2                 10645             53.373            1770         
GPU 0     60                30                9367              53.213            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     28                6                 8611              53.241            1425         
GPU 0     72                34                8209              52.933            2025         
GPU 0     35                8                 7803              52.951            2025         
GPU 0     44                5                 9825              53.277            2025         
GPU 0     58                24                9807              52.414            1965         
GPU 0     34                12                8641              52.422            2025         
GPU 0     44                11                8895              52.315            1695         
GPU 0     59                29                7481              51.748            2025         
GPU 0     41                7                 9031              47.921            1995         
GPU 0     35                2                 10291             47.948            1725         
GPU 0     61                31                9037              46.439            2025         
GPU 0     27                6                 9235              44.684            1575         
GPU 0     73                33                8113              44.576            2025         
GPU 0     33                7                 8307              43.027            1680         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     45                4                 10291             46.775            2025         
GPU 0     61                30                9267              45.251            2025         
GPU 0     29                7                 8731              49.737            2025         
GPU 0     70                31                8671              49.705            2025         
GPU 0     35                9                 7863              50.712            2025         
GPU 0     43                6                 9885              49.465            2025         
GPU 0     62                29                8675              46.371            2025         
GPU 0     55                14                9141              44.988            2010         
GPU 0     50                25                7823              42.230            2025         
GPU 0     40                7                 9525              42.878            2025         
GPU 0     63                29                9313              45.896            2025         
GPU 0     32                7                 8503              45.421            2025         
GPU 0     45                7                 9393              45.181            1755         
GPU 0     60                31                8053              42.617            2025         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     32                6                 9125              45.144            1815         
GPU 0     58                15                9555              48.668            1935         
GPU 0     45                21                8293              45.776            2025         
GPU 0     42                8                 9585              47.084            1860         
GPU 0     63                30                8201              50.116            2025         
GPU 0     30                7                 8865              47.284            1875         
GPU 0     51                6                 9803              44.313            1875         
GPU 0     55                30                8525              44.322            2025         
GPU 0     31                6                 9655              48.707            1950         
GPU 0     73                32                8429              45.527            2025         
GPU 0     31                7                 8477              46.263            1485         
GPU 0     42                4                 10077             48.374            1755         
GPU 0     62                32                8747              48.281            2025         
GPU 0     29                6                 9235              46.005            1875         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     74                32                8717              43.116            2025         
GPU 0     32                7                 7949              43.087            2025         
GPU 0     42                5                 10077             42.081            1725         
GPU 0     62                30                9053              42.574            2025         
